ProteinA	ProteinB	DomainA	DomainB
Q16763	Q9UJX6	PF00179	PF08672
Q16777	Q96A08	PF00125	PF00125
Q16777	P68431	PF00125	PF00125
Q16851	Q16851	PF01704	PF01704
Q16873	Q16873	PF01124	PF01124
Q30201	P02786	PF00129	PF04253
Q3B726	Q9H9Y6	PF03876	PF04560
Q53EZ4	Q53EZ4	PF12180	PF12180
Q53GL0	Q53GL0	PF00169	PF00169
Q53HL2	Q9NQS7	PF10444	PF12178
Q5S007	P46734	PF00069	PF00069
Q5S007	P52564	PF00069	PF00069
Q5S007	O14733	PF00069	PF00069
Q5VZM2	Q9NQL2	PF04670	PF04670
Q5VZM2	Q9HB90	PF04670	PF04670
Q5XUX0	Q13616	PF12937	PF00888
Q68E01	Q9BQ15	PF10189	PF01336
Q6P1M3	Q6P1M3	PF00400	PF00400
Q6P3S6	Q13616	PF12937	PF00888
Q6PH85	Q13616	PF03556	PF10557
Q6PH85	Q13617	PF03556	PF10557
Q6PH85	Q13618	PF03556	PF10557
Q6PH85	Q13619	PF03556	PF10557
Q6PH85	Q13620	PF03556	PF10557
Q6PH85	Q93034	PF03556	PF10557
Q6XZF7	Q9NQY0	PF03114	PF03114
Q6ZN17	Q9BYG3	PF00313	PF00076
Q6ZNA4	Q6ZNA4	PF13639	PF13639
Q7KZI7	Q9NQT8	PF00069	PF00498
Q7L2H7	Q9UBQ5	PF01399	PF10075
Q7L2H7	Q9Y262	PF01399	PF10255
Q7L3B6	P08238	PF08565	PF02518
Q7L523	Q9HB90	PF04670	PF04670
Q7L523	Q9NQL2	PF04670	PF04670
Q7L5N1	Q15843	PF01398	PF00240
Q7L5N1	Q15370	PF01398	PF00240
Q7L804	P62491	PF09457	PF00071
Q7Z3B3	Q9H7Z6	PF15275	PF01853
Q7Z4G1	Q8N668	PF07258	PF07258
Q7Z589	P83916	PF03735	PF01393
Q7Z7C8	Q12962	PF07524	PF03540
Q86SE5	Q86SE5	PF00076	PF00076
Q86TM6	Q86TM6	PF13639	PF13639
Q86TM6	P62837	PF13639	PF00179
Q86TM6	P61077	PF13639	PF00179
Q86VP6	Q93034	PF08623	PF00888
Q86VX2	Q8N668	PF07258	PF07258
Q86X83	Q8N668	PF07258	PF07258
Q86XK2	Q13616	PF12937	PF00888
Q86YS3	P62491	PF09457	PF00071
Q8IUF8	Q8IUF8	PF08007	PF08007
Q8IUQ4	Q8IUQ4	PF03145	PF03145
Q8IUZ5	Q8IUZ5	PF00202	PF00202
Q8IWE4	Q13616	PF03556	PF10557
Q8IWE4	Q13617	PF03556	PF10557
Q8IWE4	Q13618	PF03556	PF10557
Q8IXK0	Q8IXK0	PF00536	PF00536
Q8IXK0	Q9UHJ3	PF00536	PF00536
Q8IXK0	Q96GD3	PF00536	PF00536
Q8IY18	Q96SB8	PF13476	PF02463
Q8IY92	Q9BQ83	PF09494	PF01541
Q8IYB3	P49756	PF01480	PF01480
Q8IYU2	P68036	PF00632	PF00179
Q8IZD4	Q9NPI6	PF06058	PF06058
Q8N122	P35568	PF00400	PF00169
Q8N122	Q8N122	PF00400	PF00400
Q8N143	P41182	PF00651	PF00651
Q8N1L9	P17275	PF00170	PF00170
Q8N2Z9	A8MT69	PF15630	PF09415
Q8N302	Q8N302	PF00498	PF00498
Q8N3Y1	P63208	PF00646	PF01466
Q8N5I3	Q8N5I3	PF02214	PF02214
Q8NBT2	Q9HBM1	PF08286	PF08234
Q8NBT2	Q9BZD4	PF08286	PF03800
Q8NCD3	P49450	PF10384	PF00125
Q8NEU8	Q9UL26	PF00169	PF00071
Q8NEZ2	Q99816	PF07200	PF09454
Q8NFD5	O14497	PF01388	PF01388
Q8NFH3	Q9BW27	PF00400	PF07575
Q8NFH3	Q8NFH4	PF00400	PF00400
Q8NFZ0	Q13616	PF12937	PF00888
Q8NHM5	P63208	PF00646	PF01466
Q8NHQ8	Q96NE9	PF00788	PF00373
Q8NHY2	P62837	PF13923	PF00179
Q8NHY2	P51668	PF13923	PF00179
Q8TBB1	P62837	PF00097	PF00179
Q8TBM8	P11142	PF00226	PF00012
Q8TBN0	Q8TBN0	PF06428	PF06428
Q8TBN0	Q96QF0	PF06428	PF06428
Q8TDB6	P51668	PF13923	PF00179
Q8TDB6	P62837	PF13923	PF00179
Q8TDB6	P61077	PF13923	PF00179
Q8TF42	P22681	PF00627	PF00627
Q8WUI4	Q8WUI4	PF00850	PF00850
Q8WVB6	P40938	PF00004	PF13177
Q8WVC0	Q8N7H5	PF04004	PF03985
Q8WVF5	Q8WVF5	PF02214	PF02214
Q8WWW0	Q13043	PF00130	PF00069
Q8WWW0	Q13188	PF00130	PF00069
Q8WWY3	O94906	PF01798	PF06424
Q8WXA9	P84103	PF00076	PF00076
Q8WXA9	Q01130	PF00076	PF00076
Q8WXA9	Q9BRL6	PF00076	PF00076
Q8WXA9	Q8WXA9	PF00076	PF00076
Q8WXA9	O75494	PF00076	PF00076
Q8WXF8	Q8WXF8	PF01335	PF01335
Q8WY64	P51668	PF13920	PF00179
Q8WYJ6	Q14141	PF00735	PF00735
Q8WYJ6	Q8WYJ6	PF00735	PF00735
Q8WYK2	P15336	PF00170	PF00170
Q8WZ19	Q13829	PF02214	PF02214
Q8WZ19	Q9H3F6	PF02214	PF02214
Q92529	P00533	PF00017	PF07714
Q92529	P04629	PF00017	PF07714
Q92529	Q16620	PF00017	PF07714
Q92665	P82673	PF15433	PF10213
Q92731	Q15596	PF00104	PF08832
Q92734	Q92734	PF00564	PF00564
Q92769	Q92769	PF00850	PF00850
Q92769	Q8N344	PF00850	PF01448
Q92793	O43918	PF00439	PF00628
Q92793	P16220	PF02172	PF02173
Q92793	P10242	PF02172	PF07988
Q92793	Q15788	PF09030	PF08815
Q92793	P10243	PF02172	PF07988
Q92793	Q15596	PF09030	PF08815
Q92800	Q15910	PF00856	PF00856
Q92800	Q15022	PF00856	PF09733
Q92835	P29353	PF00017	PF00017
Q92843	O43521	PF00452	PF08945
Q92843	Q92934	PF00452	PF10514
Q92900	Q9HAU5	PF09416	PF04050
Q92905	Q13098	PF01398	PF01399
Q92905	Q15843	PF01398	PF00240
Q92905	Q9UNS2	PF01398	PF01399
Q92905	Q9UBW8	PF01398	PF01399
Q92905	Q9BT78	PF01398	PF01399
Q92905	Q9H9Q2	PF01398	PF01399
Q92905	Q92905	PF01398	PF01398
Q92934	Q07817	PF10514	PF00452
Q92934	P10415	PF10514	PF00452
Q93009	Q96T88	PF00443	PF00240
Q93034	Q15370	PF10557	PF00240
Q93034	Q15369	PF00888	PF03931
Q93034	Q8WXK3	PF00888	PF07525
Q93034	Q96S21	PF00888	PF07525
Q93034	Q13951	PF00888	PF02312
Q93038	Q15628	PF00531	PF00531
Q93062	Q93062	PF00076	PF00076
Q93062	O43251	PF00076	PF00076
Q93088	Q93088	PF02574	PF02574
Q969G3	Q86U86	PF00505	PF00505
Q969H0	Q13616	PF12937	PF00888
Q969Q1	Q969Q1	PF00643	PF00643
Q969Q1	Q9BYV6	PF00643	PF00643
Q969T4	Q969V5	PF00179	PF13920
Q969T4	O95628	PF00179	PF14570
Q969T4	Q6ZNA4	PF00179	PF13639
Q969T4	Q96BH1	PF00179	PF05773
Q969T4	Q99942	PF00179	PF13920
Q969T4	Q9HCM9	PF00179	PF15227
Q969U6	Q13619	PF12937	PF00888
Q96A08	Q9Y5B9	PF00125	PF08512
Q96A08	Q08945	PF00125	PF08512
Q96AJ9	O15400	PF12352	PF05739
Q96AT9	Q96AT9	PF00834	PF00834
Q96B02	Q9UKV5	PF00179	PF13639
Q96B02	Q6ZNA4	PF00179	PF13639
Q96B02	Q9BY78	PF00179	PF13920
Q96B02	P78317	PF00179	PF13639
Q96B02	P98170	PF00179	PF13920
Q96B02	Q99942	PF00179	PF13920
Q96BR9	Q96BR9	PF00651	PF00651
Q96CA5	P42574	PF00653	PF00656
Q96CA5	P62837	PF13920	PF00179
Q96CV9	Q96CV9	PF11577	PF11577
P84092	P53680	PF00928	PF01217
Q96CW5	Q96RT8	PF04130	PF04130
Q96CW5	Q9BSJ2	PF04130	PF04130
Q96DX5	Q93034	PF07525	PF00888
Q96EF6	Q13616	PF12937	PF00888
Q96EP0	Q9BYM8	PF01485	PF01485
Q96EP1	P53350	PF00498	PF00069
Q96FW1	P62837	PF10275	PF00179
Q96FW1	P61088	PF10275	PF00179
Q96FW1	P51668	PF10275	PF00179
Q96FX7	Q9UJA5	PF08704	PF04189
Q96FZ7	Q9H444	PF03357	PF03357
Q96GA7	Q96GA7	PF00291	PF00291
Q96GG9	Q13616	PF03556	PF10557
Q96GG9	Q13617	PF03556	PF10557
Q96GG9	Q13618	PF03556	PF10557
Q96GG9	Q93034	PF03556	PF10557
Q96GM5	Q92925	PF02201	PF02201
Q96GX9	Q96GX9	PF00596	PF00596
Q96H20	Q9BRG1	PF04157	PF05871
Q96H20	Q96H20	PF04157	PF04157
Q96H20	Q86VN1	PF04157	PF04157
Q96IZ5	Q86SE5	PF00076	PF00076
Q96J02	P68036	PF00632	PF00179
Q96J02	P51965	PF00632	PF00179
Q96J02	P62253	PF00632	PF00179
Q96J02	P62837	PF00632	PF00179
Q96KP1	P11234	PF01833	PF00071
Q96KP1	P11233	PF01833	PF00071
Q96KQ7	Q96T88	PF00856	PF02182
Q96LD8	Q15843	PF02902	PF00240
Q96LR5	Q99942	PF00179	PF13920
Q96LR5	Q9HCM9	PF00179	PF15227
Q96LR5	Q9NVW2	PF00179	PF13639
Q96LR5	O60260	PF00179	PF00240
Q96MG7	Q8WV22	PF01454	PF07574
Q96MH2	O94992	PF15313	PF15313
Q96NY9	Q96AY2	PF02732	PF02732
Q96P09	Q9NR28	PF00653	PF09057
Q96PM5	Q96PM5	PF13639	PF13639
Q96PM5	P62837	PF13639	PF00179
Q96PN7	Q13547	PF01448	PF00850
Q96PU4	P51668	PF00240	PF00179
Q96PU5	P62837	PF00632	PF00179
Q96PU5	P68036	PF00632	PF00179
Q96PU5	P61086	PF00632	PF00179
Q96PU5	P51668	PF00632	PF00179
Q96Q27	Q93034	PF07525	PF00888
Q96QG7	Q96QG7	PF06602	PF06602
Q96QU6	Q96QU6	PF00155	PF00155
Q96RE7	Q96RE7	PF00651	PF00651
Q96RR4	Q16539	PF00069	PF00069
Q96RU8	Q8N2I9	PF00069	PF00069
Q96S59	Q9NWU2	PF08513	PF08513
Q96SB3	P62136	PF00595	PF00149
Q96SB3	P36873	PF00595	PF00149
Q96T23	O60264	PF15612	PF09111
Q99081	Q6XD76	PF00010	PF00010
Q99081	P15923	PF00010	PF00010
Q99436	P62333	PF00227	PF00004
Q99471	O60925	PF02996	PF01920
Q99471	Q9UHV9	PF02996	PF01920
Q99496	P25490	PF13923	PF00096
Q99497	Q99497	PF01965	PF01965
Q99583	P61244	PF00010	PF00010
Q99583	Q99583	PF00010	PF00010
Q99583	Q9UH92	PF00010	PF00010
Q99584	P05230	PF01023	PF00167
Q99619	Q93034	PF07525	PF00888
Q99623	P35232	PF01145	PF01145
Q99638	O60671	PF04139	PF02144
Q99638	O60921	PF04139	PF04005
Q99683	Q99683	PF00069	PF00069
Q99683	P52564	PF00069	PF00069
Q99683	O43318	PF00069	PF07714
Q99697	Q99697	PF00046	PF00046
Q99700	P11940	PF07145	PF00658
Q99704	P09769	PF00169	PF07714
Q99704	P07948	PF00169	PF07714
Q99704	P12931	PF00169	PF07714
Q99704	P00519	PF00169	PF07714
Q99719	Q92599	PF00735	PF00735
Q99719	Q15019	PF00735	PF00735
Q99719	Q99719	PF00735	PF00735
Q99719	Q8WYJ6	PF00735	PF00735
Q99719	Q14141	PF00735	PF00735
Q99719	Q9NVA2	PF00735	PF00735
Q99719	Q9P0V9	PF00735	PF00735
Q99759	O43318	PF00069	PF07714
Q99814	Q9GZT9	PF11413	PF13640
Q99816	Q9UK41	PF09454	PF03997
Q99816	A5D8V6	PF09454	PF07200
Q99819	P61586	PF02115	PF00071
Q99836	O00206	PF01582	PF01582
Q99836	Q9NR96	PF01582	PF01582
Q99836	P51617	PF00531	PF00531
Q99836	O43187	PF00531	PF00531
Q99933	P11142	PF02179	PF00012
Q99942	Q9Y385	PF13920	PF00179
Q99942	Q99942	PF13920	PF13920
Q99961	Q9H788	PF00018	PF00017
Q9BPX1	Q9BPX1	PF13561	PF13561
Q9BPX5	P59998	PF04699	PF05856
Q9BPZ3	P11940	PF07145	PF00658
Q9BPZ3	O95071	PF07145	PF00658
Q9BQY4	Q9BQY4	PF00046	PF00046
Q9BRG1	Q86VN1	PF05871	PF04157
Q9BRG2	P00533	PF00017	PF07714
Q9BRT9	Q9BRX5	PF05916	PF05916
Q9BSJ2	Q96RT7	PF04130	PF04130
Q9BT78	Q9UBW8	PF01399	PF01399
Q9BT78	Q9H9Q2	PF01399	PF01399
Q9BT78	Q99627	PF01399	PF10075
Q9BTC8	Q13547	PF01448	PF00850
Q9BTC8	Q92769	PF01448	PF00850
Q9BTC8	Q8WXI9	PF00320	PF00320
Q9BTC8	Q86YP4	PF00320	PF00320
Q9BTE7	Q13616	PF03556	PF10557
Q9BTE7	Q13617	PF03556	PF10557
Q9BTE7	Q13618	PF03556	PF10557
Q9BTV7	Q00535	PF00134	PF00069
Q9BUE0	Q96G25	PF09637	PF10232
Q9BUI4	Q9H1D9	PF05645	PF05158
Q9BV20	Q9BV20	PF01008	PF01008
Q9BV36	P51159	PF02318	PF00071
Q9BW11	P61244	PF00010	PF00010
Q9BWF2	Q12933	PF13639	PF00097
Q9BXM7	Q9BXM7	PF00069	PF00069
Q9BYD3	Q9P015	PF00573	PF00828
Q9BYD3	Q4U2R6	PF00573	PF10244
Q9BYM8	Q9BYM8	PF01485	PF01485
Q9BYV9	Q9ULX9	PF03131	PF03131
Q9BZE1	Q5T653	PF07147	PF00181
Q9BZV1	Q9BZE9	PF00789	PF00789
Q9C005	Q9C005	PF05186	PF05186
Q9GZQ3	Q8N668	PF07258	PF07258
Q9GZQ8	Q9Y4P1	PF02991	PF03416
Q9GZQ8	O95352	PF02991	PF00899
Q9GZS1	O15446	PF06870	PF08208
Q9GZT8	Q9GZT8	PF01784	PF01784
Q9GZX7	Q9GZX7	PF08210	PF08210
Q9H074	P11940	PF07145	PF00658
Q9H0A8	Q8N668	PF07258	PF07258
Q9H0A8	Q86X83	PF07258	PF07258
Q9H0A8	Q7Z4G1	PF07258	PF07258
Q9H0A8	Q9GZQ3	PF07258	PF07258
Q9H0E2	Q9H0E2	PF00168	PF00168
Q9H0M0	P68036	PF00632	PF00179
Q9H0U4	P50395	PF00071	PF00996
Q9H0U4	P62820	PF00071	PF00071
Q9H0Y0	O95352	PF03987	PF00899
Q9H201	Q9Y6I3	PF01417	PF01417
Q9H211	O75496	PF08839	PF07412
Q9H257	Q9H257	PF00619	PF00619
Q9H267	Q9H9C1	PF00995	PF04840
Q9H270	Q9P253	PF00637	PF00637
Q9H2S9	Q13422	PF13894	PF00096
Q9H2W6	Q9NQ50	PF11788	PF09812
Q9H2X6	Q9H2X6	PF00069	PF00069
Q9H444	Q7LBR1	PF03357	PF03357
Q9H492	O95352	PF02991	PF00899
Q9H492	Q9Y4P1	PF02991	PF03416
Q9H4E5	Q9BYG5	PF00071	PF00595
Q9H4M9	Q9H4M9	PF00350	PF00350
Q9H4P4	Q9NR09	PF13923	PF00179
Q9H4P4	P61077	PF13923	PF00179
Q9H4P4	Q9H4P4	PF08941	PF08941
Q9H672	Q93034	PF07525	PF00888
Q9H6Z4	O14980	PF00638	PF08767
Q9H6Z4	P62826	PF00638	PF00071
Q9H6Z9	Q99814	PF13640	PF11413
Q9H765	Q15369	PF07525	PF03931
Q9H765	Q93034	PF07525	PF00888
Q9H7Z6	Q68DK7	PF01853	PF15275
Q9H7Z6	Q8N5Y2	PF11717	PF11717
Q9H840	Q8WXD5	PF11095	PF06372
Q9H9A7	Q13472	PF08585	PF01131
Q9H9H4	Q99816	PF07200	PF09454
Q9HA47	Q9HA47	PF00485	PF00485
Q9HAP2	Q9UH92	PF00010	PF00010
Q9HAU4	P68036	PF00632	PF00179
Q9HAU4	P51668	PF00632	PF00179
Q9HAU4	P61077	PF00632	PF00179
Q9HBH9	P28482	PF00069	PF00069
Q9HBM6	P49848	PF02291	PF02969
Q9HC16	Q9HC16	PF08210	PF08210
Q9HC29	O43353	PF00619	PF00619
Q9HC29	P98170	PF00619	PF13920
Q9HC98	Q7Z6G3	PF00069	PF13833
Q9HC98	Q8TDX7	PF00069	PF00069
Q9HCE7	P61077	PF00632	PF00179
Q9HCE7	P68036	PF00632	PF00179
Q9HCM9	Q9HAC8	PF15227	PF00240
Q9HCN4	Q9UHW5	PF03029	PF03029
Q9HCU9	Q9H7L9	PF08598	PF08598
Q9HCY8	Q96FQ6	PF01023	PF01023
Q9HD42	Q9HD42	PF03357	PF03357
Q9HD42	Q7LBR1	PF03357	PF03357
Q9NNX6	Q9NNX6	PF00059	PF00059
Q9NNX6	Q9H2X3	PF00059	PF00059
Q9NP66	Q9NP66	PF00505	PF00505
Q9NP79	Q9NZZ3	PF04652	PF03357
Q9NPB6	P63000	PF00595	PF00071
Q9NPD8	Q9NW38	PF00179	PF11793
Q9NPD8	Q9NPD8	PF00179	PF00179
Q9NPE3	Q9NX24	PF04135	PF01248
Q9NPF4	Q14657	PF00814	PF09341
Q9NPJ8	Q9H4D5	PF02136	PF02136
Q9NQP4	P61758	PF01920	PF02996
Q9NQS7	Q9UQB9	PF03941	PF00069
Q9NR09	Q9NR28	PF00653	PF09057
Q9NR09	P55211	PF00653	PF00656
Q9NR09	P42574	PF00653	PF00656
Q9NR09	P55210	PF00653	PF00656
Q9NR22	Q9NR22	PF06325	PF06325
Q9NR28	O15392	PF09057	PF00653
Q9NR28	Q96CA5	PF09057	PF00653
Q9NR28	Q9NR28	PF09057	PF09057
Q9NR55	P05412	PF00170	PF00170
Q9NRA8	P06730	PF10477	PF01652
Q9NRD1	Q13616	PF12937	PF00888
Q9NRF9	Q9NRG0	PF00808	PF00808
Q9NRF9	Q9NR33	PF00808	PF00808
Q9NS28	P08754	PF00615	PF00503
Q9NS56	P63279	PF13923	PF00179
Q9NS56	P51668	PF13923	PF00179
Q9NS91	P49459	PF13923	PF00179
Q9NS91	P63146	PF13923	PF00179
Q9NSE2	P19235	PF00017	PF00041
Q9NSE2	Q93034	PF07525	PF00888
Q9NTM9	Q9NTM9	PF03932	PF03932
Q9NTX7	Q14527	PF13920	PF13920
Q9NTX7	P61077	PF13920	PF00179
Q9NW38	Q96B02	PF11793	PF00179
Q9NWB1	Q93062	PF00076	PF00076
Q9NWS9	Q9H4T2	PF02023	PF02023
Q9NWS9	Q96IT1	PF02023	PF02023
Q9NWS9	Q8NF99	PF02023	PF02023
Q9NWS9	Q96N95	PF02023	PF02023
Q9NWT6	Q16665	PF13621	PF08778
Q9NWX5	Q93034	PF07525	PF00888
Q9NWZ3	P51617	PF07714	PF00069
Q9NX08	Q9UBI1	PF07258	PF07258
Q9NX65	Q9NWS9	PF02023	PF02023
Q9NXV2	Q9NXV2	PF02214	PF02214
Q9NY12	O60832	PF04410	PF01509
Q9NYG5	Q9UJX6	PF12861	PF00888
Q9NYG5	O00762	PF12861	PF00179
Q9NYG5	P51668	PF12861	PF00179
Q9NYG5	P62837	PF12861	PF00179
Q9NYG5	Q16763	PF12861	PF00179
Q9NYG5	P61086	PF12861	PF00179
Q9NZN3	Q9H4M9	PF00350	PF00350
Q9NZN8	O75175	PF04153	PF04153
Q9NZZ3	Q9BY43	PF03357	PF03357
Q9NZZ3	Q9H444	PF03357	PF03357
Q9P0U3	P46060	PF02902	PF07834
Q9P0U3	P63165	PF02902	PF11976
Q9P0U3	P61956	PF02902	PF11976
Q9P0U3	P55854	PF02902	PF11976
Q9P0U4	Q9UPS6	PF00628	PF00076
Q9P289	Q14BN4	PF00069	PF00498
Q9P2R6	Q13547	PF01448	PF00850
Q9P2R6	Q92769	PF01448	PF00850
Q9UBC3	P45973	PF00145	PF00385
Q9UBE0	P55854	PF00899	PF11976
Q9UBE8	Q9UBE8	PF00069	PF00069
Q9UBI1	Q8N668	PF07258	PF07258
Q9UBI1	Q86X83	PF07258	PF07258
Q9UBI1	Q9Y6G5	PF07258	PF07258
Q9UBI1	Q7Z4G1	PF07258	PF07258
Q9UBI1	Q9P000	PF07258	PF07258
Q9UBN4	P48995	PF00520	PF00520
Q9UBP6	P57081	PF02390	PF00400
Q9UBQ0	Q96QK1	PF12850	PF03635
Q9UBQ5	Q9Y262	PF10075	PF10255
Q9UBQ5	Q99613	PF10075	PF01399
Q9UBS4	P11021	PF00226	PF00012
Q9UBU8	Q9NV56	PF05712	PF07904
Q9UBU8	Q92993	PF11717	PF11717
Q9UBU9	Q9UKK6	PF02136	PF02136
Q9UBU9	P61970	PF02136	PF02136
Q9UBW8	Q99627	PF01399	PF10075
Q9UDY4	P17066	PF00226	PF00012
Q9UER7	Q9UER7	PF03344	PF03344
Q9UH92	Q14582	PF00010	PF00010
Q9UH92	Q9NP71	PF00010	PF00010
Q9UH92	Q9UH92	PF00010	PF00010
Q9UHB7	P50750	PF05110	PF00069
Q9UHD2	Q9UHD2	PF00069	PF00069
Q9UHD8	Q15019	PF00735	PF00735
Q9UHD8	Q14141	PF00735	PF00735
Q9UHQ4	P51572	PF05529	PF05529
Q9UI12	P36543	PF03224	PF01991
Q9UI26	P62826	PF03810	PF00071
Q9UI26	P51965	PF03810	PF00179
Q9UIF9	O60264	PF15612	PF09111
Q9UIK4	Q9UIK4	PF00069	PF00069
Q9UJ41	P20339	PF02204	PF00071
Q9UJ41	Q9UJ41	PF02204	PF02204
Q9UJ70	Q9UJ70	PF01869	PF01869
Q9UJC3	Q9UJC3	PF05622	PF05622
Q9UJT9	P63208	PF00646	PF01466
Q9UJX2	Q9BS18	PF04049	PF05839
Q9UJX5	P60006	PF12896	PF15243
Q9UJX5	Q9UJX5	PF12896	PF12896
Q9UJX6	O00762	PF08672	PF00179
Q9UJY1	P04792	PF00011	PF00011
Q9UJY1	Q9UBY9	PF00011	PF00011
Q9UJY1	Q16082	PF00011	PF00011
Q9UK45	P62318	PF01423	PF01423
Q9UK80	Q9Y2K6	PF00443	PF00443
Q9UKB1	Q13616	PF12937	PF00888
Q9UKC9	P63208	PF00646	PF01466
Q9UKK6	Q9H4D5	PF02136	PF02136
Q9UKL0	O60341	PF00249	PF01593
Q9UKT5	P63208	PF00646	PF01466
Q9UKT7	Q13616	PF12937	PF00888
Q9UKT8	P63208	PF00646	PF01466
Q9UKT9	Q9H2S9	PF00096	PF13894
Q9UKU0	Q9UKU0	PF00501	PF00501
Q9UKV5	Q86TM6	PF13639	PF13639
Q9UKV5	Q9UKV5	PF13639	PF13639
Q9UKV5	P62253	PF13639	PF00179
Q9UL62	P48995	PF00520	PF00520
Q9ULV8	P62837	PF02262	PF00179
Q9ULX9	Q16236	PF03131	PF03131
Q9ULX9	Q9ULX9	PF03131	PF03131
Q9ULX9	Q14494	PF03131	PF03131
Q9UM11	Q9UJX6	PF12894	PF00888
Q9UMX0	Q16186	PF00240	PF04683
Q9UN37	Q9NP79	PF09336	PF04652
Q9UNA4	P12004	PF11799	PF00705
Q9UNE7	P51668	PF04564	PF00179
Q9UNE7	Q96LR5	PF04564	PF00179
Q9UNE7	P61077	PF04564	PF00179
Q9UNE7	P51965	PF04564	PF00179
Q9UNE7	Q96B02	PF04564	PF00179
Q9UNL4	Q9UNL4	PF12998	PF12998
Q9UNM6	O00232	PF01399	PF01399
Q9UNM6	O00231	PF01399	PF01399
Q9UNM6	O43242	PF01399	PF01399
Q9UNM6	P48556	PF01399	PF10075
Q9UNS2	Q9BT78	PF01399	PF01399
Q9UNS2	Q9UBW8	PF01399	PF01399
Q9UNS2	Q99627	PF01399	PF10075
Q9UNS2	Q9H9Q2	PF01399	PF01399
Q9UNY5	Q9NWS9	PF02023	PF02023
Q9UPM8	Q9Y6B7	PF01602	PF01602
Q9UPZ9	P28482	PF00069	PF00069
Q9UQ88	P68400	PF00069	PF00069
Q9Y230	Q9Y230	PF06068	PF06068
Q9Y239	O43353	PF00619	PF00619
Q9Y248	Q9BRT9	PF05916	PF05916
Q9Y248	Q9BRX5	PF05916	PF05916
Q9Y253	P12004	PF11799	PF00705
Q9Y265	Q9Y230	PF06068	PF06068
Q9Y265	Q9Y265	PF06068	PF06068
Q9Y266	P07900	PF04969	PF02518
Q9Y275	Q02223	PF00229	PF09257
Q9Y2A7	Q8IZP0	PF09735	PF07815
Q9Y2K7	P63208	PF00646	PF01466
Q9Y2M0	Q9Y2M0	PF08774	PF08774
Q9Y2Q5	Q9UHA4	PF03259	PF08923
Q9Y2T1	P49841	PF00615	PF00069
Q9Y2X7	P25098	PF12796	PF00069
Q9Y2X8	Q9HCM9	PF00179	PF15227
Q9Y2X8	Q86UW9	PF00179	PF00097
Q9Y2X8	Q9BV68	PF00179	PF13639
Q9Y2X8	Q9UKV5	PF00179	PF13639
Q9Y2X8	Q6PCD5	PF00179	PF13639
Q9Y2X8	Q9Y3C5	PF00179	PF13639
Q9Y2X8	Q6ZNA4	PF00179	PF13639
Q9Y2X8	Q96BH1	PF00179	PF05773
Q9Y2X8	P78317	PF00179	PF13639
Q9Y2X8	Q9Y4L5	PF00179	PF13639
Q9Y2X8	Q8ND25	PF00179	PF13639
Q9Y2X8	Q99942	PF00179	PF13920
Q9Y2X8	P14373	PF00179	PF15227
Q9Y333	O95777	PF01423	PF01423
Q9Y333	P62310	PF01423	PF01423
Q9Y333	Q9UK45	PF01423	PF01423
Q9Y333	P62312	PF01423	PF01423
Q9Y333	P54105	PF01423	PF03517
Q9Y385	Q13490	PF00179	PF13920
Q9Y385	Q86TM6	PF00179	PF13639
Q9Y3B4	O75533	PF00076	PF08920
Q9Y3C4	Q96S44	PF08617	PF06293
Q9Y3E7	Q9Y3E7	PF03357	PF03357
Q9Y3E7	Q9H444	PF03357	PF03357
Q9Y3I1	P63208	PF00646	PF01466
Q9Y478	P54646	PF04739	PF00069
Q9Y4I1	P51159	PF01843	PF00071
Q9Y4K3	P61088	PF13923	PF00179
Q9Y4K3	Q13404	PF13923	PF00179
Q9Y4K3	P68036	PF13923	PF00179
Q9Y4P1	Q9H0R8	PF03416	PF02991
Q9Y4Y9	P62312	PF01423	PF01423
Q9Y4Y9	Q9UK45	PF01423	PF01423
Q9Y4Y9	P62310	PF01423	PF01423
Q9Y4Z0	O15116	PF01423	PF01423
Q9Y4Z0	Q9Y333	PF01423	PF01423
Q9Y4Z0	P62310	PF01423	PF01423
Q9Y4Z0	P62312	PF01423	PF01423
Q9Y4Z0	Q9UK45	PF01423	PF01423
Q9Y4Z0	O95777	PF01423	PF01423
Q9Y535	Q9NW08	PF03876	PF04560
Q9Y572	Q13546	PF00069	PF07714
Q9Y574	Q93034	PF07525	PF00888
Q9Y575	Q93034	PF07525	PF00888
Q9Y575	Q15369	PF07525	PF03931
Q9Y576	Q93034	PF07525	PF00888
Q9Y5K5	Q9Y5K5	PF01088	PF01088
Q9Y5L4	Q9Y5J9	PF02953	PF02953
Q9Y5L4	O60220	PF02953	PF02953
Q9Y5M8	P08240	PF09439	PF04086
Q9Y5X1	Q07912	PF00018	PF07714
Q9Y613	Q9Y613	PF02181	PF02181
Q9Y620	Q06609	PF00271	PF14520
Q9Y678	Q9UBF2	PF01602	PF01602
Q9Y678	P61923	PF01602	PF01217
Q9Y678	Q9P299	PF01602	PF01217
Q9Y678	Q9Y678	PF01602	PF01602
Q9Y6E0	O00506	PF00069	PF00069
Q9Y6E0	Q14BN4	PF00069	PF00498
Q9Y6G5	Q8N668	PF07258	PF07258
Q9Y6I7	Q93034	PF07525	PF00888
Q9Y6K1	P45973	PF00145	PF00385
Q9Y6K9	O15111	PF11577	PF12179
Q9Y6K9	O14920	PF11577	PF12179
