Protein	Domain	ProteinLength	DomainLength	DomainStart	DomainEnd
Q9H0F5	PF13639	515	43	461	504
P42345	PF08771	2549	98	2015	2113
Q9H3S7	PF00102	1636	234	1217	1451
Q13576	PF00616	1575	212	938	1150
Q14185	PF06920	1865	499	1111	1610
P46940	PF00616	1657	212	1025	1237
Q9UBT2	PF00899	640	440	3	443
O14576	PF11540	645	30	143	173
Q9UKT4	PF00646	447	53	242	295
Q9H469	PF00646	300	42	18	60
P46060	PF07834	587	215	370	585
P35227	PF13923	344	39	17	56
Q9Y5P8	PF13499	575	102	316	418
Q15172	PF01603	486	406	56	462
Q15173	PF01603	497	405	62	467
P35637	PF00076	526	78	287	365
Q8IWT3	PF10557	2517	78	1867	1945
Q9NVP2	PF04729	202	153	1	154
P68871	PF00042	147	104	8	112
Q9Y5P4	PF00169	624	93	24	117
P12755	PF08782	728	94	217	311
O43353	PF00619	540	86	437	523
Q8N7R7	PF00134	359	122	163	285
Q9ULV1	PF01392	537	108	45	153
Q03933	PF00447	536	100	10	110
P54725	PF09280	363	56	232	288
P54727	PF09280	409	56	276	332
P09429	PF00505	215	68	95	163
Q14814	PF00319	521	47	10	57
P36957	PF00198	453	231	220	451
Q9BY11	PF14604	444	50	392	442
Q9P2D0	PF12796	1353	94	22	116
P54132	PF00271	1417	110	874	984
Q8WU20	PF02174	508	92	17	109
Q04724	PF03920	770	132	1	133
Q96KR1	PF07528	1074	248	790	1038
Q8IZP0	PF00018	508	45	452	497
Q5VWG9	PF07524	929	76	3	79
O75521	PF00378	394	248	145	393
Q9BYD2	PF01281	267	46	94	140
Q99627	PF10075	209	140	31	171
P25445	PF00531	335	84	230	314
P26715	PF00059	233	95	136	231
P26717	PF00059	231	95	134	229
Q9Y6D9	PF05557	718	662	54	716
O43913	PF13191	435	149	7	156
Q9UBD5	PF07034	711	326	18	344
O43913	PF14630	435	254	177	431
P04049	PF07714	648	257	349	606
P08581	PF07714	1390	259	1078	1337
Q8N344	PF01448	545	50	197	247
P55042	PF00071	308	160	93	253
O75494	PF00076	262	70	12	82
Q9UKA1	PF12937	691	45	205	250
Q92990	PF08568	594	560	1	561
O75155	PF08623	1236	163	1045	1208
Q9UF56	PF12937	701	47	321	368
Q9NXK8	PF12937	326	46	4	50
Q15370	PF00240	118	63	4	67
Q9P2K6	PF07707	505	42	130	172
Q8NDN9	PF00651	531	107	360	467
P20290	PF01849	206	56	85	141
Q9H3F6	PF02214	313	90	34	124
Q86W42	PF00400	341	38	158	196
P12644	PF00019	408	101	306	407
Q92759	PF03849	462	353	21	374
Q6P1K8	PF04056	395	191	64	255
Q9NYV4	PF00069	1490	293	727	1020
Q9UH03	PF00735	358	277	58	335
Q16254	PF02319	413	65	18	83
Q15329	PF02319	346	65	51	116
Q16555	PF01979	572	389	64	453
P25116	PF00001	425	252	119	371
Q09472	PF09030	2414	106	1992	2098
Q13043	PF00069	487	251	30	281
Q13188	PF00069	491	251	27	278
Q9UPT9	PF00443	525	341	176	517
P49005	PF04042	469	216	196	412
P78352	PF00018	724	56	434	490
Q96BD6	PF07525	273	38	234	272
Q15543	PF02269	124	89	30	119
Q99598	PF01997	290	213	51	264
P10826	PF00104	455	177	224	401
Q9Y376	PF08569	341	331	3	334
Q9C0K7	PF00069	418	311	58	369
Q9H9S4	PF08569	337	328	5	333
P15374	PF01088	230	208	6	214
Q13616	PF10557	776	62	706	768
Q13618	PF10557	768	62	698	760
Q8TC92	PF00076	643	60	144	204
Q9Y6J9	PF02969	622	64	9	73
P49848	PF02969	677	65	11	76
O14810	PF05835	134	132	1	133
P14859	PF00157	743	71	283	354
O14893	PF04938	280	240	33	273
Q9GZT9	PF13640	426	93	298	391
P02786	PF04253	760	113	637	750
Q9H9Y6	PF04560	1135	102	1033	1135
Q9NQS7	PF12178	918	35	6	41
Q9NQL2	PF04670	400	226	64	290
Q9HB90	PF04670	399	226	63	289
Q9BQ15	PF01336	211	82	23	105
Q9NQY0	PF03114	253	215	10	225
Q9BYG3	PF00076	293	70	47	117
Q9NQT8	PF00498	1826	64	471	535
Q8N668	PF07258	190	70	117	187
P83916	PF01393	185	52	118	170
Q9UHJ3	PF00536	866	63	794	857
Q96GD3	PF00536	660	65	591	656
Q96SB8	PF02463	1091	1024	47	1071
Q9BQ83	PF01541	275	82	13	95
P49756	PF01480	843	69	769	838
Q9NPI6	PF06058	582	116	8	124
A8MT69	PF09415	81	69	12	81
Q9HBM1	PF08234	224	71	148	219
Q9UL26	PF00071	194	161	7	168
O14497	PF01388	2285	85	1019	1104
Q9BW27	PF07575	656	553	53	606
Q8NFH4	PF00400	326	39	114	153
Q96NE9	PF00373	622	115	119	234
Q96QF0	PF06428	476	83	187	270
P40938	PF13177	356	170	18	188
Q8N7H5	PF03985	531	408	28	436
Q9BRL6	PF00076	282	70	16	86
Q16620	PF07714	822	269	538	807
O43918	PF00628	545	45	298	343
P10243	PF07988	752	46	240	286
Q9HAU5	PF04050	1272	149	1069	1218
Q9H9Q2	PF01399	264	95	61	156
Q96T88	PF00240	793	73	3	76
Q8WXK3	PF07525	278	38	239	277
Q96S21	PF07525	281	36	189	225
Q86U86	PF00505	1689	67	1379	1446
Q9BYV6	PF00643	548	48	119	167
P53680	PF01217	142	141	1	142
Q96RT8	PF04130	1024	669	273	942
Q9UJA5	PF04189	497	303	19	322
Q92925	PF02201	531	72	309	381
Q86VN1	PF04157	386	216	154	370
Q96T88	PF02182	793	169	417	586
Q8WV22	PF07574	266	161	15	176
O94992	PF15313	359	137	164	301
Q96AY2	PF02732	570	183	256	439
Q8N2I9	PF00069	435	288	40	328
Q9NWU2	PF08513	228	26	27	53
Q6XD76	PF00010	172	50	75	125
O60925	PF01920	122	105	14	119
Q9UHV9	PF01920	154	105	24	129
P35232	PF01145	272	182	28	210
P09769	PF07714	529	249	263	512
Q92599	PF00735	483	273	41	314
Q9NVA2	PF00735	429	273	38	311
Q9P0V9	PF00735	454	272	63	335
Q9UK41	PF03997	221	180	39	219
A5D8V6	PF07200	355	145	5	150
O00206	PF01582	839	165	674	839
Q9NR96	PF01582	1032	159	870	1029
P51617	PF00531	712	76	27	103
O43187	PF00531	625	81	13	94
Q9BRX5	PF05916	216	107	66	173
Q96RT7	PF04130	1819	1370	355	1725
Q8WXI9	PF00320	593	34	420	454
Q86YP4	PF00320	633	34	417	451
Q96G25	PF10232	268	264	1	265
Q9H1D9	PF05158	316	314	1	315
Q9P015	PF00828	296	131	45	176
Q4U2R6	PF10244	128	88	38	126
Q5T653	PF00181	305	81	84	165
Q9BZE9	PF00789	553	77	386	463
O15446	PF08208	510	311	37	348
P62820	PF00071	205	161	13	174
Q9Y6I3	PF01417	576	123	17	140
O75496	PF07412	209	183	1	184
Q9H9C1	PF04840	493	141	164	305
Q13422	PF00096	519	22	145	167
Q9NQ50	PF09812	206	154	45	199
Q7LBR1	PF03357	199	169	7	176
Q9NR09	PF00179	4857	158	4577	4735
Q68DK7	PF15275	614	118	473	591
Q8N5Y2	PF11717	521	63	11	74
Q8WXD5	PF06372	167	166	1	167
Q13472	PF01131	1001	412	195	607
Q7Z6G3	PF13833	386	40	86	126
Q8TDX7	PF00069	302	258	34	292
Q9HAC8	PF00240	227	71	151	222
Q9UHW5	PF03029	284	246	8	254
Q9H7L9	PF08598	328	226	60	286
Q96FQ6	PF01023	103	43	8	51
Q9H2X3	PF00059	399	106	285	391
Q9NX24	PF01248	153	94	45	139
Q14657	PF09341	143	73	62	135
Q9H4D5	PF02136	531	150	344	494
P61758	PF02996	197	122	60	182
Q9UQB9	PF00069	309	250	43	293
P55211	PF00656	416	252	161	413
Q9NRG0	PF00808	131	63	17	80
Q9NR33	PF00808	117	64	39	103
Q9H4T2	PF02023	348	89	37	126
Q96IT1	PF02023	587	89	38	127
Q96N95	PF02023	335	89	48	137
Q16665	PF08778	826	36	789	825
O60832	PF01509	514	116	110	226
Q9UJX6	PF00888	822	237	489	726
Q9BY43	PF03357	222	178	21	199
Q9UPS6	PF00076	1966	67	108	175
Q9P000	PF07258	198	77	120	197
P57081	PF00400	412	39	178	217
Q96QK1	PF03635	796	738	15	753
Q9NV56	PF07904	204	149	35	184
Q92993	PF11717	513	58	7	65
P17066	PF00012	643	606	8	614
Q9NP71	PF00010	852	54	650	704
P36543	PF01991	226	198	18	216
Q9BS18	PF05839	74	73	1	74
P60006	PF15243	121	91	2	93
Q9UBY9	PF00011	170	95	74	169
Q16082	PF00011	182	97	66	163
Q9Y2K6	PF00443	914	537	145	682
O60341	PF01593	852	538	288	826
Q9Y6B7	PF01602	739	519	6	525
Q02223	PF09257	184	37	8	45
Q8IZP0	PF07815	508	77	93	170
Q9UHA4	PF08923	124	118	3	121
P25098	PF00069	689	262	191	453
Q86UW9	PF00097	622	60	412	472
O75533	PF08920	1304	123	329	452
Q96S44	PF06293	253	176	49	225
Q9NW08	PF04560	1133	86	1043	1129
Q9Y5J9	PF02953	83	62	14	76
O60220	PF02953	97	62	21	83
P08240	PF04086	638	275	27	302
Q9UBF2	PF01602	871	516	23	539
Q9P299	PF01217	210	140	45	185
O15111	PF12179	745	36	707	743
O14920	PF12179	756	36	706	742
P11474	PF00104	423	181	224	405
